	SScmap	SSfisher	SSlincs	SSlincs_Norm	SSpearson_corr	SSspearman_corr	SSzhang	SSzhang_Norm	Rank	Rank	Rank	Rank	Rank	Rank	Rank	Rank	sumrank								
S3S5	1.136894614	2.203297443	0.054471967	0.402150457	0.206104667	0.348768473	-35.97241379	0.362330883	75	68	137	82	32	10	79	102	0.002664309								
S3S16	1.090183636	2.440953982	0.365428491	0.922974641	0.202735759	0.238095238	-36.25615764	0.578560317	79	33	38	49	35	43	80	77	0.000105633								
S2S25	1.245849902	-3.214642099	-0.012443095	0.136200131	0.132409318	0.238423645	-37.48965517	-0.544405357	58	432	234	142	73	42	81	235	0.067868518								
S2S13	1.405697631	2.471173448	-0.086430391	-0.039219329	0.117335125	0.183537264	-38.2172043	0.448864362	29	27	338	224	85	68	82	92	0.077357179								
S7S28	1.490297664	-3.413998377	-0.236683947	-0.635288658	-0.068202809	-0.039072039	-38.27513228	0.641322773	18	434	397	392	292	270	83	71	1								
S16S11	0.056307779	-0.889023971	0.345427087	1.10484129	0.057254346	0.177753059	-38.87311828	0.822055512	167	270	45	26	136	71	84	56	0.002549733								
S16S18	-0.060082228	0.822746975	0.004096358	0.204016549	0.020515348	0.067980296	-39.05287356	0.494747321	220	161	209	122	176	154	85	87	0.033584502								
S5S32	-1.245398578	-2.395851138	0.032998915	-0.022578492	-0.051839002	0.125152625	-39.22486772	0.946456613	379	405	169	213	269	106	86	47	0.152677441								
S6S20	-1.326612136	-4.605170186	0.11138736	0.512551796	0.201101669	0.241758242	-39.2989418	0.517053042	410	466	83	73	37	41	87	84	0.000174734								
S3S10	1.062187412	2.158020642	0.122769663	0.567889813	0.293672486	0.256157635	-39.56650246	0.579640192	81	71	79	71	11	37	88	76	0.000187136								
S16	1.309836397	-3.517415941	-0.329589482	-0.830575214	-0.103359663	-0.080586081	-40.75661376	0.546603047	47	435	417	410	329	310	89	80	1								
S14S27	-1.157081801	3.609786627	0.289440109	0.758458593	0.039854723	0.020689655	-41.8183908	1.075509687	365	1	57	59	152	216	90	40	0.04092453								
S2S27	1.085786164	-1.60255466	-0.051787953	0.00443013	0.084500324	0.26453202	-42.12183908	0.101774135	80	351	297	200	113	33	91	141	0.254799229								
S12S8	-0.196280211	-0.538939105	0.410166552	1.128768222	0.168070096	0.172413793	-42.24876847	-0.066090211	259	236	23	22	52	79	92	160	0.006682069								
S6S4	0.336992681	-4.605170186	-0.050259906	0.021106537	0.015115893	0.072039072	-42.90740741	0.529519383	96	466	294	195	186	147	93	82	0.227342869								
S10S21	-0.970266185	-0.8235586	-0.062329677	-0.049200721	-0.14494032	-0.190656285	-43.11397849	0.666257968	345	265	314	233	378	410	94	66	1								
S14S18	-0.01866919	1.605495963	0.066917975	0.265529962	0.139250208	0.01773399	-43.37011494	0.499996439	194	105	124	107	70	220	95	85	0.027832031								
S10S24	-1.145232816	-0.511804784	-0.4521825	-1.226487541	-0.167844595	-0.152016129	-43.41330645	0.633115753	362	231	473	475	401	375	96	72	1								
S17S22	0.06053583	-0.599828535	0.351556204	0.899703939	0.189903933	0.064039409	-44.36551724	0.563604876	163	241	42	51	41	161	97	78	0.00701805								
S13S5	-0.052784943	-0.186503939	-0.120232131	-0.271189424	-0.083088504	-0.114395183	-44.9408867	0.552759435	215	215	371	319	306	348	98	79	1								
S6S3	-0.382993002	-4.605170186	0.429326171	1.147019543	0.186674691	0.136141636	-44.94179894	-0.322187338	301	466	16	18	42	101	99	203	0.010465038								
S14S3	0.148039679	-4.605170186	0.031589659	-0.031957044	0.033518067	0.03546798	-45.27586207	0.390832136	140	466	171	221	159	201.5	100	98	0.046947755								
S8	1.430599826	-1.123844569	-0.221525838	-0.568917597	0.030777697	-0.064102564	-45.34920635	0.790604072	25	295	393	382	164	295	101	57	1								
