Gene_Symbol	logFC	pv
SELL	-5.826295795	0.0005
STX11	-1.54904302	0.0005
GCH1	-1.425481023	0.0005
CHMP4B	-0.60209047	0.0005
NPC2	0.2614017	0.0005
HINT1	0.344470357	0.0005
RPL12	0.304878394	0.0005
EEF1G	0.45022824	0.0005
ETFB	0.641836808	0.0005
LAMTOR4	0.564133027	0.0005
NPM1	0.41729966	0.0005
NHP2	0.890901588	0.0005
C1QBP	1.517629051	0.0005
TIMM13	0.815798649	0.0005
COA3	0.842719803	0.0005
DAB2	0.737697183	0.0005
HS3ST3B1	-3.704920663	0.0005
IDH2	1.766714564	0.0005
MTLN	1.570969402	0.0005
TXNRD1	-0.95260171	0.0005
PKD2L1	-1.466459025	0.0005
H2AJ	-0.609982285	0.0005
ETF1	-0.585954636	0.0005
AP1B1	3.308691493	0.0005
BOLA3	1.727003834	0.0005
TMEM106A	1.49508979	0.0005
PTPRC	-0.901610685	0.0005
TUBB2A	2.693663678	0.0005
TIMP2	3.640596702	0.0005
NSF	-0.85873863	0.0005
GLIPR2	-1.516197988	0.0005
AHNAK	-0.550132968	0.0005
PF4	3.356331323	0.0005
FRMD4B	2.751479236	0.0005
TRA2B	-0.725413363	0.0005
ZFAND2A	2.21013352	0.0005
CEACAM1	-2.068369608	0.0005
MAP1LC3A	-1.282964019	0.0005
DNASE2	2.055723234	0.0005
ARHGAP10	2.695116421	0.0005
NAB1	-1.167810109	0.0005
KLF3	-0.954439918	0.0005
SIPA1L1	-1.601911825	0.0005
ATRNL1	-1.863781529	0.0005
HTR7	-4.411075126	0.0005
FNDC3B	-0.82170871	0.0005
SSR1	-0.637091889	0.0005
SGPL1	1.528031769	0.0005
PI16	-1.49463414	0.0005
TMEM86A	2.073254334	0.0005
CAMK1	1.442056179	0.0005
NUDCD2	2.231443476	0.0005
TSPAN4	3.551018967	0.0005
PTMA	0.301422011	0.0005
EEF1B2	-0.468999245	0.0005
RPS9	-0.278776464	0.0005
ATP5MC2	0.845149463	0.0005
LCN2	-4.509252786	0.0005
HBEGF	-2.710580397	0.0005
KCNRG	-1.664248792	0.0005
RUNX2	-1.631185531	0.0005
PLBD1	-1.321523628	0.0005
MCUB	-0.578117441	0.0005
SND1	-0.911567278	0.0005
TPP1	1.354598449	0.0005
NAAA	-1.952891906	0.0005
MGAT5	0.941923563	0.0005
TUBA1B	0.476028363	0.0005
LGALS9	0.996098072	0.0005
HEXB	1.386032384	0.0005
S100A8	-2.204200745	0.0005
INPP5A	-2.37676825	0.0005
SLA	-1.493761604	0.0005
ANTKMT	1.22018932	0.0005
ANXA4	1.14009695	0.0005
RAB5A	-0.781581542	0.0005
SPECC1	1.449640157	0.0005
RPS27	-0.217447847	0.0005
C1QB	3.021746879	0.0005
UQCR11	0.630127177	0.0005
C1QA	3.413722839	0.0005
C1QC	3.065084827	0.0005
ATP5MPL	0.455663636	0.0005
IL1B	-1.758437498	0.0005
VASP	-1.103033176	0.0005
EML4	-1.404934278	0.0005
JMJD6	-1.090301964	0.0005
MRPL42	1.4935214	0.0005
CRISPLD2	-2.720296017	0.0005
CNDP2	0.415731743	0.0005
GOSR2	-0.95983774	0.0005
TFEC	-2.116187594	0.0005
RBBP6	-0.869342398	0.0005
CEBPD	-1.167755879	0.0005
SLC38A2	-0.75004647	0.0005
MRPL23	1.104888441	0.0005
MRPL33	-0.708114467	0.0005
CXCL16	2.86429213	0.0005
SLC9A9	1.073987748	0.0005
EIF3F	-0.450895845	0.0005
POLR2E	1.116690508	0.0005
MRPS33	0.791088461	0.0005
NFIL3	-1.200643014	0.0005
NSD3	-0.892568421	0.0005
COX7A2L	-0.649695097	0.0005
KLF9	-2.055622378	0.0005
RASSF1	-0.786511458	0.0005
HPGDS	6.02526169	0.0005
GBA	1.579872896	0.0005
CEBPZOS	2.506356588	0.0005
PLA1A	-2.7643442	0.0005
EHD1	-0.778004746	0.0005
NAPSA	-1.897786383	0.0005
APRT	0.734670109	0.0005
ATP5MF	0.463343919	0.0005
ST6GAL1	2.46543815	0.0005
SC5D	-2.084104153	0.0005
LPL	2.415174659	0.0005
MYCBP2	-0.905069172	0.0005
CD36	2.390680232	0.0005
LIPA	1.952676046	0.0005
BLVRB	1.253314351	0.0005
