Gene_Symbol	logFC	pv
CD83	-0.68507247	0.00001
TSPAN5	-1.474084292	0.00001
S100A9	-2.025303018	0.00001
EEF1B2	-0.468999245	0.00001
CEBPB	-0.605752008	0.00001
HBEGF	-2.710580397	0.00001
KCNRG	-1.664248792	0.00001
RUNX2	-1.631185531	0.00001
PLBD1	-1.321523628	0.00001
MCUB	-0.578117441	0.00001
SND1	-0.911567278	0.00001
NCF2	-0.681523671	0.00001
CD36	2.390680232	0.00001
S100A8	-2.204200745	0.00001
SNX5	0.984151992	0.00001
FNIP2	1.413984324	0.00001
CD86	-0.771747728	0.00001
NAAA	-1.952891906	0.00001
TUBA1B	0.476028363	0.00001
LGALS9	0.996098072	0.00001
INPP5A	-2.37676825	0.00001
SLA	-1.493761604	0.00001
ANTKMT	1.22018932	0.00001
ANXA4	1.14009695	0.00001
NR4A2	-0.875296902	0.00001
CHP1	-0.885285345	0.00001
MAP2K3	-0.797281089	0.00001
RAB5A	-0.781581542	0.00001
SPECC1	1.449640157	0.00001
CD180	2.387367672	0.00001
CCNL1	-0.776249095	0.00001
DMTF1	-1.816146208	0.00001
JMJD6	-1.090301964	0.00001
CRISPLD2	-2.720296017	0.00001
GOSR2	-0.95983774	0.00001
TFEC	-2.116187594	0.00001
CEBPD	-1.167755879	0.00001
SLC38A2	-0.75004647	0.00001
BAG1	0.668411316	0.00001
CISD2	-0.927053818	0.00001
GRAMD1B	1.931441738	0.00001
CUX1	-0.566219138	0.00001
NUDC	1.089554677	0.00001
LRMDA	0.62656766	0.00001
COMTD1	4.109207341	0.00001
NSD3	-0.892568421	0.00001
ELOB	0.542540175	0.00001
EHD4	1.665095942	0.00001
KLF9	-2.055622378	0.00001
RASSF1	-0.786511458	0.00001
HPGDS	6.02526169	0.00001
CEBPZOS	2.506356588	0.00001
GNPDA1	1.449081224	0.00001
NDUFA5	1.037927303	0.00001
EHD1	-0.778004746	0.00001
PLA2G15	1.990844366	0.00001
RAET1E	-1.115092006	0.00001
SLC37A2	3.196029904	0.00001
CSF2RB	-1.525106818	0.00001
IL17RA	-1.367546312	0.00001
BIN2	-0.863585721	0.00001
MTSS1	3.344360783	0.00001
ST6GAL1	2.46543815	0.00001
SC5D	-2.084104153	0.00001
BLVRB	1.253314351	0.00001
KCNN4	4.218281806	0.00001
HIF1A	-1.29677172	0.00001
TCEAL9	1.169056769	0.00001
PSMB6	0.528655793	0.00001
ITGB5	1.161795059	0.00001
IER5	-0.510994688	0.00001
MAN2B1	-0.760037696	0.00001
DIAPH1	-0.98809625	0.00001
SYS1	-0.543474892	0.00001
ATP1A1	-0.686582577	0.00001
HAVCR2	-1.155989646	0.00001
ZFP36L2	-1.021845346	0.00001
NDUFB9	0.53198249	0.00001
SLC7A5	-1.771802335	0.00001
RGL1	0.92268236	0.00001
CMIP	-0.808939732	0.00001
ZFAND3	-0.750323508	0.00001
UCK2	-2.735877423	0.00001
OXCT1	1.587987716	0.00001
SPTSSA	0.853073142	0.00001
TPM4	-0.874370565	0.00001
RAB44	-5.377709469	0.00001
CD300LG	-2.875988891	0.00001
KYNU	-4.055529554	0.00001
FKBP5	-1.55186155	0.00001
TENT5A	-1.384689397	0.00001
PROS1	-1.905378723	0.00001
SLC25A4	1.007475855	0.00001
AP1S2	-0.724946099	0.00001
EGR1	-2.472293445	0.00001
MRPL28	1.566167856	0.00001
DCTPP1	1.997500389	0.00001
CXCR2	-5.24663074	0.00001
FOLR2	3.277761459	0.00001
KLHL2	-1.297208634	0.00001
NOD2	-3.539925537	0.00001
PSD3	3.597990476	0.00001
